Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply
01 Invoice,111111111111111,ABC LTD.,TI5H0000298,8/1/2024,"84,675.47",8/1/2024,8/31/2024,"4,233.77",ARCH,10004XXXXX00003,COATED PIPE 0323.90X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000299,8/3/2024,"98,856.47",8/1/2024,8/31/2024,"4,942.82",ARCH,10004XXXXX00003,COATED PIPE 0323.90X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000300,8/5/2024,"84,909.60",8/1/2024,8/31/2024,"4,245.48",ARCH,10004XXXXX00003,COATED PIPE 0323.90X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000301,8/5/2024,"129,142.92",8/1/2024,8/31/2024,"6,457.15",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000302,8/6/2024,"77,485.32",8/1/2024,8/31/2024,"3,874.27",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000348,8/7/2024,"56,439.31",8/1/2024,8/31/2024,"2,821.95",ARCH,10004XXXXX00003,COATED PIPE 0323.90X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000303,8/8/2024,"138,828.63",8/1/2024,8/31/2024,"6,941.43",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001710,8/9/2024,"11,203.92",8/1/2024,8/31/2024,560.2,BERG,10030XXXXX00003,UNEQUAL ANGLE 150X100X10.00 MMX06.00 M
01 Invoice,111111111111111,ABC LTD.,TI5H0000305,8/9/2024,"87,171.19",8/1/2024,8/31/2024,"4,358.56",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000306,8/9/2024,"55,531.45",8/1/2024,8/31/2024,"2,776.57",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000304,8/10/2024,"136,891.50",8/1/2024,8/31/2024,"6,844.58",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000307,8/10/2024,"27,765.61",8/1/2024,8/31/2024,"1,388.28",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001711,8/12/2024,"4,040.50",8/1/2024,8/31/2024,202.03,ONYX,10028XXXXX00003,Rental Damages Claim
01 Invoice,111111111111111,ABC LTD.,TI5H0000309,8/13/2024,"164,734.20",8/1/2024,8/31/2024,"8,236.71",SARI,10032XXXXX00003,COATED PIPE 219.10X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000310,8/13/2024,"72,552.03",8/1/2024,8/31/2024,"3,627.60",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
