Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Location of the Supplier,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,24010275,8/9/2024,8/1/2024,8/31/2024,"16,602.09",OSL,NLD,Sea Frieght Inbound,830.10
01 Invoice,111111111111111,ABC LTD.,2410011879,8/7/2024,8/1/2024,8/31/2024,"28,708.02",ARCE,NLD,"Corporate Fees
 Re-invoiced costs & fees - G&A Invoicing DSS
 costs part IV","1,435.40"
01 Invoice,111111111111111,ABC LTD.,2410011896,8/15/2024,8/1/2024,8/31/2024,"794,121.21",ARCE,NLD,"Corporate Fees
 Corporate service fees Q2-2024
 Corporate IT Fees Q2-2024","39,706.06"
01 Invoice,111111111111111,ABC LTD.,BA5/2408486,8/12/2024,8/1/2024,8/31/2024,"114,576.90",ARCE,BEL,Sea Frieght Inbound,"5,728.85"
01 Invoice,111111111111111,ABC LTD.,BA5/2408875,8/25/2024,8/1/2024,8/31/2024,"12,571.41",ARCE,BEL,Sea Frieght Inbound,628.57
01 Invoice,111111111111111,ABC LTD.,I0032644,6/3/2024,8/1/2024,8/31/2024,323.18,WORL,IND,"Hotel Charges
 BASMAH BASHOUR
 CHECK IN:05/06/2024
 RADISSON BLUE HOTEL",16.16
01 Invoice,111111111111111,ABC LTD.,I0032652,6/4/2024,8/1/2024,8/31/2024,"1,458.02",WORL,IND,"Air Ticket Expenses
 SOPHY ELECTOR 
 NBO/DAR/NBO
 24 JUNE 2024",72.9
01 Invoice,111111111111111,ABC LTD.,I0032675,6/5/2024,8/1/2024,8/31/2024,"4,620.01",WORL,IND,"Air Ticket Expenses
 SHIVKUMAR MASHETTY
 PRABHAKARAN CHITRARASU
 TUU/DXB/TUU-13 JUNE 2024",231
01 Invoice,111111111111111,ABC LTD.,I0032676,6/5/2024,8/1/2024,8/31/2024,"4,620.01",WORL,IND,"Air Ticket Expenses
 SHIVKUMAR MASHETTY
 PRABHAKARAN CHITRARASU
 TUU/DXB/TUU-13 JUNE 2024",231
01 Invoice,111111111111111,ABC LTD.,I0032701,6/7/2024,8/1/2024,8/31/2024,"1,557.14",WORL,IND,"Hotel Charges – (E)
 SOPHY ELECTOR
 HOLIDAY INN TANZANIA
 24/06/2024 TO 28/06/2024",77.86
01 Invoice,111111111111111,ABC LTD.,I0032702,6/7/2024,8/1/2024,8/31/2024,"1,586.52",WORL,IND,"Hotel Charges – (E)
 MUKESHCHANDRA PATIIL
 HOLIDAY INN
 24/06/2024 TO 28/06/2024",79.33
01 Invoice,111111111111111,ABC LTD.,I0032714,6/10/2024,8/1/2024,8/31/2024,"2,423.85",WORL,IND,"Hotel Charges
 PRATHAM RASTOGI
 AVANI IBN BATTUTA HOTEL 
 12/06/2024 TO 24/06/2024",121.19
01 Invoice,111111111111111,ABC LTD.,I0032740,6/12/2024,8/1/2024,8/31/2024,"1,160.51",WORL,IND,"Air Ticket Expenses
 HIMANSHU CHOPRA
 DXB RUH DXB - 01 JULY 2024",58.03
01 Invoice,111111111111111,ABC LTD.,I0032816,6/19/2024,8/1/2024,8/31/2024,"8,079.50",WORL,IND,"Air Ticket Expenses-(E)
 ABU SURENDRAN
 SHAIJU MADHAVAN
 DXB AMS CDG DXB - 30 JUNE 2024",403.98
01 Invoice,111111111111111,ABC LTD.,I0032820,6/20/2024,8/1/2024,8/31/2024,"8,979.26",WORL,IND,"Air Ticket Expenses
 BALA IYER 
 DXB AMM DXB-08 JULY 2024",448.96
01 Invoice,111111111111111,ABC LTD.,I0032996,7/4/2024,8/1/2024,8/31/2024,"1,524.09",WORL,IND,"Air Ticket Expenses
 FAHMI SHARAWI
 RUH AMM RUH-08 JUL 2024",76.2
