Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,Supplier Name,Location of the Supplier,Name of the Customs Authority,Customs Declaration Number,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,ES0628/24,8/5/2024,"69,883.92",8/1/2024,8/31/2024,IBIX,ITALY,DXB,"1,012,510,354,424.00",Import of Goods to DFZ.,"3,494.20"
01 Invoice,111111111111111,ABC LTD.,2400489,8/7/2024,"74,764.01",8/1/2024,8/31/2024,SIAT,ITALY,AUH,"24,957,659.00",Import of Goods to DFZ.,"3,738.20"
01 Invoice,111111111111111,ABC LTD.,90225917,8/19/2024,"111,405.78",8/1/2024,8/31/2024,AL J,Oman,DXB,"1,040,138,798,724.00",Import of Goods to DFZ.,"5,570.29"
01 Invoice,111111111111111,ABC LTD.,90225919,8/19/2024,"111,405.78",8/1/2024,8/31/2024,AL J,Oman,DXB,"1,040,138,846,024.00",Import of Goods to DFZ.,"5,570.29"
01 Invoice,111111111111111,ABC LTD.,36297,8/20/2024,"113,882.33",8/1/2024,8/31/2024,AL J,Oman,DXB,1040138860724,Import of Goods to DFZ.,"5,694.12"
01 Invoice,111111111111111,ABC LTD.,IN20012086 and IN20012089,8/14/2024,"134,325.70",8/1/2024,8/31/2024,Arce,UAE,DXB,1020745155524,Transfer of goods within same VAT group entity.,"6,716.28"
01 Invoice,111111111111111,ABC LTD.,IN20012091,8/15/2024,"28,273.36",8/1/2024,8/31/2024,Arce,UAE,DXB,1020745144624,Transfer of goods within same VAT group entity.,"1,413.67"
01 Invoice,111111111111111,ABC LTD.,IN20012114,8/22/2024,"141,366.96",8/1/2024,8/31/2024,Arce,UAE,DXB,1020745649624,Transfer of goods within same VAT group entity.,"7,068.35"
01 Invoice,111111111111111,ABC LTD.,202425BTSMISC12,8/14/2024,"1,151.66",8/1/2024,8/31/2024,Bhot,India,DXB,1012520741024,Import of Goods to DFZ.,57.58
01 Invoice,111111111111111,ABC LTD.,IN20012125,8/26/2024,"34,287.47",8/1/2024,8/31/2024,Arce,UAE,DXB,1020746503824,Transfer of goods within same VAT group entity.,"1,714.37"
01 Invoice,111111111111111,ABC LTD.,IN5H0000609,8/21/2024,"5,075.64",8/1/2024,8/31/2024,Arce,UAE,SHJ,1-1-55-1-24-77198,Transfer of goods within same VAT group entity.,253.78
01 Invoice,111111111111111,ABC LTD.,IN20012127,8/27/2024,"57,145.78",8/1/2024,8/31/2024,Arce,UAE,DXB,1020746760324,Transfer of goods within same VAT group entity.,"2,857.29"
01 Invoice,111111111111111,ABC LTD.,IN20012126,8/27/2024,"40,547.07",8/1/2024,8/31/2024,Arce,UAE,DXB,1020746711624,Transfer of goods within same VAT group entity.,"2,027.35"
01 Invoice,111111111111111,ABC LTD.,IN20012112,8/22/2024,"49,033.96",8/1/2024,8/31/2024,Arce,UAE,DXB,1020747737324,Transfer of goods within same VAT group entity.,"2,451.70"
01 Invoice,111111111111111,ABC LTD.,"IN20012042, IN20012090 and IN20012111","08/08/2024, 15/08/2024 and 22/08/2024","19,260.66",8/1/2024,8/31/2024,Arce,UAE,DXB,1020747737524,Transfer of goods within same VAT group entity.,963.03
