Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice-Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,R00751,8/1/2024,8/9/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00753,8/1/2024,8/9/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00752,8/1/2024,8/9/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00780,8/9/2024,8/9/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,GM/2024-105579,7/29/2024,8/13/2024,8/1/2024,8/31/2024,"80,795.00",GREAT MINDS EVENT MANAGEMENT L.L.C,GREA,10048XXXXX00003,Sales Promotion Expenses,"4,039.75","4,039.75",-
01 Invoice,111111111111111,ABC LTD.,319,8/9/2024,8/16/2024,8/1/2024,8/31/2024,"10,400.00",EASY HYDROMECHANICAL EQUIPMENT REP & MAINT LLC,EASY,10413XXXXX00003,"Repair & Maintenance Machine
 CYLINDER DISMANTLING
 SERVICE
 ASSEMBLE
 TESTING",520.00,520,-
01 Invoice,111111111111111,ABC LTD.,SHGOU24000015586,8/5/2024,8/22/2024,8/1/2024,8/31/2024,"171,968.00",SUKOON INSURANCE PJSC,SUKO,10025XXXXX00003,"Credit Insurance
 Policy No HFCI202100000203 Endorsement No 26 Your Ref
 No EXCESS PREMIUM FOR PERIOD 01/01/2023 TO
 31/12/2023
 Endorsement","8,598.40","8,598.40",-
01 Invoice,111111111111111,ABC LTD.,ae01AE10036663,8/23/2024,8/26/2024,8/1/2024,8/31/2024,"50,798.00",ERNST & YOUNG,ERNS,10004XXXXX00003,"Professional /Consultancy Fees
 Fee
 Accounting and Audit Services","2,539.90","2,539.90",-
01 Invoice,111111111111111,ABC LTD.,SIV-2024/180,8/7/2024,8/29/2024,8/1/2024,8/31/2024,"3,875.00",AL TASAWUR FIRE AND SAFETY LLC,AL T,10418XXXXX00003,"Electrical maintenance
 2ND PAYMENT - 02 JUNE 2024 TO 02 DEC 2024 
 TYPE OF SYSTEM SERVICE:Non comprehensive Maintenance of Fire Alarm System,Emergency/Exit lights,Fire Hose Reels,Fire Pumps and a Fire Extingusihers @ ArcelorMittal DSTC FZE (Office and Warehouse)
 Contract Period: 1 Year (02 Dec 2023- 02 Dec 2024)",193.75,193.75,-
01 Invoice,111111111111111,ABC LTD.,DT/24-08-154,8/27/2024,8/29/2024,8/1/2024,8/31/2024,330.00,BEST CHOICE TESTING SERVICES,BEST,10033XXXXX00003,CHEMICAL ANALYSIS TEST,16.50,16.5,-
01 Invoice,111111111111111,ABC LTD.,DT/24-08-153,8/27/2024,8/29/2024,8/1/2024,8/31/2024,90.00,BEST CHOICE TESTING SERVICES,BEST,10033XXXXX00003,TENSILE TEST,4.50,4.5,-
01 Invoice,111111111111111,ABC LTD.,DT/2408-152,8/27/2024,8/29/2024,8/1/2024,8/31/2024,255.00,BEST CHOICE TESTING SERVICES,BEST,10033XXXXX00003,TENSILE TEST,12.75,12.75,-
01 Invoice,111111111111111,ABC LTD.,KCT-INV-AUG-24-004-0,8/27/2024,8/29/2024,8/1/2024,8/31/2024,"151,880.00",KING CITY TECHNICAL WORKS LLC,KING,10002XXXXX00001,Fabrication/Cutting Charges,"7,594.00","7,594.00",-
01 Invoice,111111111111111,ABC LTD.,ACS-2024-2567,8/14/2024,8/29/2024,8/1/2024,8/31/2024,654.00,ALLCAD SOLUTIONS FZC,ALLC,10038XXXXX00003,"Subscription
 ADOBE STANDARD 
 ALEN",32.70,32.7,-
01 Invoice,111111111111111,ABC LTD.,ACS-2024-2567,8/14/2024,8/29/2024,8/1/2024,8/31/2024,654.00,ALLCAD SOLUTIONS FZC,ALLC,10038XXXXX00003,"Subscription
 ADOBE STANDARD 
 ALEN",32.70,32.7,-
01 Invoice,111111111111111,ABC LTD.,652408600176,8/8/2024,8/29/2024,8/1/2024,8/31/2024,467.40,GULF COMMERCIAL GROUP,GULF,10022XXXXX00003,"Office Expenses
 Contract base rate charge for this billing period
 Contract overage charge for the 1 July 2024 to 31 July 2024 overage period",23.37,23.37,-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2224,8/19/2024,8/29/2024,8/1/2024,8/31/2024,"2,800.00",AL IKHAA TECHNICAL SERVICES L L C,AL I,10020XXXXX00003,"AC maintenance
 Safety Officer Room:
 Rheem Ducted Split AC 3.5-ton defective Compressor removing & fixing new compressor (410gas) with dryer filter, vacuumizing the system, commissioning & gas charging.",140.00,140,-
01 Invoice,111111111111111,ABC LTD.,2180-32-000004717,8/10/2024,8/29/2024,8/1/2024,8/31/2024,"4,100.00",ENSURE MIDDLE EAST TECHNOLOGY SOLUTIONS L L C,ENSU,10024XXXXX00003,"Subscription
 Fortinet F60 with 3 years license",205,205,-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2223,8/19/2024,8/29/2024,8/1/2024,8/31/2024,"1,710.00",AL IKHAA TECHNICAL SERVICES L L C,AL I,10020XXXXX00003,"AC maintenance
 Main Office Logistics Corridor area:
 Ductable Split AC Indoor unit 3 phase fan motor removing, rewinding, bush changing & reinstallation.
 Warehouse Workers Rest Room:
 Ductable Split AC Indoor unit 3 phase fan motor removing, rewinding, bush changing & reinstallation.
 Ductable Split AC defective blower removing & fixing new.",85.50,85.5,-
01 Invoice,111111111111111,ABC LTD.,31926,8/14/2024,8/29/2024,8/1/2024,8/31/2024,476.00,STAR LINK TRADING CO L L C,STAR,10021XXXXX00003,Stationary,23.80,23.8,-
01 Invoice,111111111111111,ABC LTD.,9728-PJIN-004259,8/13/2024,8/29/2024,8/1/2024,8/31/2024,"3,100.00",A G FACILITIES SOLUTIONS FOR BUILDING MAINTENANCE L L C,A G,10024XXXXX00003,"TEMPORARY STAFF
 Providing temporary Office Boy
 01/07/2024 TO 31/07/2024
 Ishwor Bishwakarma",155.00,155,-
01 Invoice,111111111111111,ABC LTD.,JFN24-47835,8/22/2024,8/30/2024,8/1/2024,8/31/2024,"2,320.00",MOHD.AL QAMA GENERAL TRADING CO (L.L.C.) Br.,MOHD,10006XXXXX00003,COMMERCIAL PLYWOOD 04.00X08.00X12.00 MM,116.00,116,-
01 Invoice,111111111111111,ABC LTD.,13-1329533,8/16/2024,8/30/2024,8/1/2024,8/31/2024,"4,715.00",FINE TOOLS TRADING LLC,FINE,10031XXXXX00003,"WHITE WOOD 4"" X 4""",235.75,235.75,-
01 Invoice,111111111111111,ABC LTD.,13-1329579,8/22/2024,8/30/2024,8/1/2024,8/31/2024,"7,323.00",FINE TOOLS TRADING LLC,FINE,10031XXXXX00003,WELDING GLOVES,366.15,366.15,-
01 Invoice,111111111111111,ABC LTD.,9728-PJIN-004260,8/13/2024,8/30/2024,8/1/2024,8/31/2024,"4,402.00",A G FACILITIES SOLUTIONS FOR BUILDING MAINTENANCE L L C,A G,10024XXXXX00003,"Office Cleaning&Maintenance
 PROVIDED 9 JANITORS FOR PART TIME CLEANING SERVICES
 SERVICE PERIOD FROM 01/07/2024 TO 31/07/2024",220.1,220.1,-
01 Invoice,111111111111111,ABC LTD.,692944,8/16/2024,8/30/2024,8/1/2024,8/31/2024,238,GRAND STATIONERY CO LLC,GRAN,10024XXXXX00003,Toner and Catridge,11.9,11.9,-
01 Invoice,111111111111111,ABC LTD.,BPS0000000024833,8/28/2024,8/30/2024,8/1/2024,8/31/2024,"33,052.60",DELOITTE & TOUCHE ME,DELO,10002XXXXX00003,"Professional /Consultancy Fees
 Corporate regulatory advisory services","1,652.63","1,652.63",-
01 Invoice,111111111111111,ABC LTD.,2024/INV-134874,8/20/2024,8/30/2024,8/1/2024,8/31/2024,"6,555.40",MEED MEDIA FZ LLC,MEED,10033XXXXX00003,"Subscription
 Web Subscription from 20 August 2024 to 19 August 2025",327.77,327.77,-
01 Invoice,111111111111111,ABC LTD.,ACR-22400246,8/27/2024,8/30/2024,8/1/2024,8/31/2024,"106,352.80",EMIRATES BUILDING SYSTEMS CO LLC,EMIR,10005XXXXX00003,"LIGHT STEEL (0-30KG/M)
 PC09","5,317.64","5,317.64",-
01 Invoice,111111111111111,ABC LTD.,DEPDN/8/24/1000618,8/18/2024,8/30/2024,8/1/2024,8/31/2024,"2,044.40",NATIONAL LIFE AND GENERAL INSURANCE COMPANY SAOG,NATI,10038XXXXX00003,"Medical Insurance – (E)
 Sithi Sabana Jamesh Fayaaz",102.22,102.22,-
01 Invoice,111111111111111,ABC LTD.,1142013124,8/23/2024,8/31/2024,8/1/2024,8/31/2024,"50,724.60",DUBAI BUILDING MATERIALS SUPPLY CENTER L L C,DUBA,10031XXXXX00003,"MS FB 050X06 MMX02.35kg/mx06.0 M S275JR, Oman 
 2PCS- 0.028MT @2650/Ton","2,536.23","2,536.23",-
