Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply,Reason of Out-of-Scope Sales treatment
01 Invoice,111111111111111,ABC LTD.,IN20012050,8/1/2024,8/1/2024,8/31/2024,"103,826.07",-,MCDE,NAXXXXXNA,HR PLATE 3.05X12.00X35.00 MM,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN5H0000566,8/1/2024,8/1/2024,8/31/2024,"211,500.00",-,EMPO,10038XXXXX00003,CSP 1219.20X12.70 MMX12.000 M/ELLIPS,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN5H0000563,8/2/2024,8/1/2024,8/31/2024,"47,371.10",-,ARAB,10001XXXXX00003,Steel from pipe processing / production (solid scrap),Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN5H0000564,8/2/2024,8/1/2024,8/31/2024,"1,344.00",-,NEJO,10057XXXXX00003,WOODEN PALLET BIG,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012054,8/2/2024,8/1/2024,8/31/2024,"19,292.81",-,MCDE,NAXXXXXNA,"IPE 160X015.80 KG/MX12.00 M
 Item no. 5.1
 Ident no. SSXSBIPE0008022",Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012055,8/2/2024,8/1/2024,8/31/2024,"163,240.98",-,MCDE,NAXXXXXNA,FB 100X08 MMX06.00 M,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012056,8/2/2024,8/1/2024,8/31/2024,"31,904.01",-,MCDE,NAXXXXXNA,"HEA 260X068.20 KG/MX11.80 M
 item no. 3.1
 Ident no. SSXSBHEA0008045",Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012051,8/2/2024,8/1/2024,8/31/2024,"66,128.40",-,WILL,10028XXXXX00003,HR PLATE 2.00X06.00X10.00 MM,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012052,8/2/2024,8/1/2024,8/31/2024,"66,128.40",-,WILL,10028XXXXX00003,HR PLATE 2.00X06.00X10.00 MM,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012053,8/2/2024,8/1/2024,8/31/2024,"22,550.13",-,MCDE,NAXXXXXNA,HR PLATE 2.50X12.00X06.00 MM,Supply of Goods from DFZ.
01 Invoice,111111111111111,ABC LTD.,IN20012058,8/2/2024,8/1/2024,8/31/2024,"119,054.06",-,META,10000XXXXX00003,HR PLATE 3.05X12.00X25.00 MM,Supply of Goods from DFZ.
