Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply
01 Invoice,111111111111111,ABC LTD.,TI70001314,7/31/2024,-129.00,7/1/2024,7/31/2024,-6.45,AL B,10050XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,TI70001314,7/31/2024,"-19,717.20",7/1/2024,7/31/2024,-985.86,AL B,10050XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,7TR1800292,7/31/2024,-9.40,7/1/2024,7/31/2024,-0.47,C I,10054XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,TI20000258,7/11/2024,"5,246.40",7/1/2024,7/31/2024,262.32,ARCE,NAXXXXXNA,"Documentation Expenses
 Lot 1"
01 Invoice,111111111111111,ABC LTD.,TI20000259,7/26/2024,"5,246.60",7/1/2024,7/31/2024,262.33,ARCE,NAXXXXXNA,"Documentation Expenses
 Lot 2"
01 Invoice,111111111111111,ABC LTD.,TI70001645,7/30/2024,"27,680.80",7/1/2024,7/31/2024,"1,384.04",TRAD,10007XXXXX00003,Rental Income SP - July'24 month Billing
01 Invoice,111111111111111,ABC LTD.,5HTR000013,7/30/2024,"1,103,616.00",7/1/2024,7/31/2024,"55,180.80",HIAP,10036XXXXX00003,Advance
01 Invoice,111111111111111,ABC LTD.,1TR1604639,7/22/2024,"38,095.20",7/1/2024,7/31/2024,"1,904.76",ADVA,NAXXXXXNA,Advance
01 Invoice,111111111111111,ABC LTD.,TI70001645,7/30/2024,"-22,614.80",7/1/2024,7/31/2024,"-1,130.74",TRAD,10007XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,TI70001645,7/30/2024,"-5,066.00",7/1/2024,7/31/2024,-253.30,TRAD,10007XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000004,7/4/2024,"-6,511.40",7/1/2024,7/31/2024,-325.57,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000005,7/4/2024,"-6,511.40",7/1/2024,7/31/2024,-325.57,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000004,7/6/2024,"-6,516.50",7/1/2024,7/31/2024,-325.83,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000005,7/6/2024,"-6,516.50",7/1/2024,7/31/2024,-325.83,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000004,7/8/2024,"-5,127.90",7/1/2024,7/31/2024,-256.40,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000005,7/8/2024,"-5,127.90",7/1/2024,7/31/2024,-256.40,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000004,7/9/2024,"-3,418.70",7/1/2024,7/31/2024,-170.94,ARCH,10004XXXXX00003,Settlement
01 Invoice,111111111111111,ABC LTD.,5HTR000005,07/09/2024,"-3,418.70",7/1/2024,7/31/2024,-170.94,ARCH,10004XXXXX00003,Settlement
