Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Location of the Supplier,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,2401645,7/30/2024,7/1/2024,7/31/2024,"95,224.73",OSL,Netherlands,Sea Frieght Inbound,"4,761.24"
01 Invoice,111111111111111,ABC LTD.,1240380,7/16/2024,7/1/2024,7/31/2024,"221,023.68",STEE,Netherlands,Sea Frieght Inbound,"11,051.18"
01 Invoice,111111111111111,ABC LTD.,2402817,7/11/2024,7/1/2024,7/31/2024,"1,599.35",MEBA,Germany,Testing Charges,79.97
01 Invoice,111111111111111,ABC LTD.,240841,7/12/2024,7/1/2024,7/31/2024,"5,217.89",SUMM,Kenya,Salaries&Wages - July 2024,260.89
01 Invoice,111111111111111,ABC LTD.,2842,7/22/2024,7/1/2024,7/31/2024,"4,105.97",SUMM,Kenya,Salaries&Wages - July 2024,205.3
01 Invoice,111111111111111,ABC LTD.,2847,7/29/2024,7/1/2024,7/31/2024,"6,363.97",ARCE,Belgium,Sea Frieght Inbound,318.2
01 Invoice,111111111111111,ABC LTD.,BA5/2407948,4/15/2024,7/1/2024,7/31/2024,"19,860.40",DMG,KSA,"Sales Promotion Expenses– (E)
 Saudi Infrastructure Expo 2024 Furnished Shell Scheme -
 Stand: 2A84 Size: 18.00 Sq. Meters - Instalment: 50.00% 18.00",993.02
01 Invoice,111111111111111,ABC LTD.,BD3934054,1/26/2024,7/1/2024,7/31/2024,"-2,328.37",WORL,India,"Air Ticket Expenses reported in March
 DUPLICATE PO20016428",-116.42
01 Invoice,111111111111111,ABC LTD.,I0031039-,4/20/2024,7/1/2024,7/31/2024,"-2,831.46",WORL,India,"Air Ticket Expenses- reported in June
 DUPLICATE PO20017259",-141.57
01 Invoice,111111111111111,ABC LTD.,I0032233-,7/30/2024,7/1/2024,7/31/2024,"9,008.64",ARCE,India,"Salaries&Wages
 Reimbursement of expenses for month of July 2024 
 Expenses
 Mark up @15% on above
 Total with Markup
 Integrated Goods and Servces Tax @ 18%",450.43
01 Invoice,111111111111111,ABC LTD.,AMDS/MD01/24/130,7/27/2024,7/1/2024,7/31/2024,"52,884.00",ARCE,India,Profesional Chargs,"2,644.20"
01 Invoice,111111111111111,ABC LTD.,SRV00005,7/30/2024,7/1/2024,7/31/2024,"10,399.31",VISI,India,AMC- Machinery,519.97
01 Invoice,111111111111111,ABC LTD.,10033140,7/29/2024,7/1/2024,7/31/2024,"1,134.80",WORL,India,Air Ticket charges,56.74
01 Invoice,111111111111111,ABC LTD.,10033175,7/30/2024,7/1/2024,7/31/2024,36.73,WORL,India,Air Ticket charges,1.84
01 Invoice,111111111111111,ABC LTD.,10033176,7/30/2024,7/1/2024,7/31/2024,36.73,WORL,India,Air Ticket charges,1.84
01 Invoice,111111111111111,ABC LTD.,10033177,7/30/2024,7/1/2024,7/31/2024,877.73,WORL,India,Air Ticket charges,43.89
01 Invoice,111111111111111,ABC LTD.,10033178,7/30/2024,7/1/2024,7/31/2024,965.87,WORL,India,Air Ticket charges,48.29
01 Invoice,111111111111111,ABC LTD.,10033179,7/30/2024,7/1/2024,7/31/2024,"1,259.67",WORL,India,Air Ticket charges,62.98
01 Invoice,111111111111111,ABC LTD.,10033180,7/30/2024,7/1/2024,7/31/2024,962.2,WORL,India,Air Ticket charges,48.11
01 Invoice,111111111111111,ABC LTD.,10033181,7/30/2024,7/1/2024,7/31/2024,903.44,WORL,India,Air Ticket charges,45.17
01 Invoice,111111111111111,ABC LTD.,10033182,7/30/2024,7/1/2024,7/31/2024,954.85,WORL,India,Air Ticket charges,47.74
01 Invoice,111111111111111,ABC LTD.,10033190,7/30/2024,7/1/2024,7/31/2024,793.26,WORL,India,Air Ticket charges,39.66
01 Invoice,111111111111111,ABC LTD.,10033191,7/30/2024,7/1/2024,7/31/2024,36.73,WORL,India,Air Ticket charges,1.84
01 Invoice,111111111111111,ABC LTD.,10033221,7/30/2024,7/1/2024,7/31/2024,874.06,WORL,India,Air Ticket charges,43.7
01 Invoice,111111111111111,ABC LTD.,10033014,7/30/2024,7/1/2024,7/31/2024,"1,444.17",WORL,India,Air Ticket charges,72.21
01 Invoice,111111111111111,ABC LTD.,10033026,7/30/2024,7/1/2024,7/31/2024,"2,710.31",WORL,India,Air Ticket charges,135.52
01 Invoice,111111111111111,ABC LTD.,10033029,7/30/2024,7/1/2024,7/31/2024,"2,475.27",WORL,India,Air Ticket charges,123.76
01 Invoice,111111111111111,ABC LTD.,10033055,7/30/2024,7/1/2024,7/31/2024,73.45,WORL,India,Air Ticket charges,3.67
01 Invoice,111111111111111,ABC LTD.,10033057,7/30/2024,7/1/2024,7/31/2024,401.37,WORL,India,Air Ticket charges,20.07
01 Invoice,111111111111111,ABC LTD.,10033058,7/30/2024,7/1/2024,7/31/2024,401.37,WORL,India,Air Ticket charges,20.07
01 Invoice,111111111111111,ABC LTD.,10033119,7/30/2024,7/1/2024,7/31/2024,580.26,WORL,India,Air Ticket charges,29.01
01 Invoice,111111111111111,ABC LTD.,10033128,7/30/2024,7/1/2024,7/31/2024,785.92,WORL,India,Air Ticket charges,39.3
01 Invoice,111111111111111,ABC LTD.,10033139,7/30/2024,7/1/2024,7/31/2024,639.02,WORL,India,Air Ticket charges,31.95
