Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Clear description of the supply,Customer Name,"Customer TRN 
 (if applicable)",Location of the Customer
01 Invoice,111111111111111,ABC LTD.,2TDN160732,7/30/2024,7/1/2024,7/31/2024,"82,734.17",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,2TDN160733,7/30/2024,7/1/2024,7/31/2024,"17,696.70",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,2TDN160734,7/30/2024,7/1/2024,7/31/2024,0.05,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,2TDN160735,7/30/2024,7/1/2024,7/31/2024,535.73,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,2TDN160736,7/30/2024,7/1/2024,7/31/2024,"3,249.26",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,2TDN160737,7/30/2024,7/1/2024,7/31/2024,"149,054.58",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,5HTDN0005,7/30/2024,7/1/2024,7/31/2024,"19,175.00",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,5HTDN0006,7/30/2024,7/1/2024,7/31/2024,"63,249.70",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,DSTC,1TDN160076,7/30/2024,7/1/2024,7/31/2024,"5,035.85",Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,DSTC,1TDN160077,7/30/2024,7/1/2024,7/31/2024,5.04,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,DSTC,1TDN160078,7/30/2024,7/1/2024,7/31/2024,41.59,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,DSTC,1TDN160079,7/30/2024,7/1/2024,7/31/2024,54.92,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,DSTC,1TDN160080,7/30/2024,7/1/2024,7/31/2024,116.53,Export of Services - Interest Income on Deposits from Treasury for April 2024,ARCE,Not Applicable,France
01 Invoice,111111111111111,ABC LTD.,TI70001696,7/30/2024,7/1/2024,7/31/2024,"22,986.72",Export of Services - Rental Income SP - June month billing,ALGH,Not Applicable,Bahrain
