Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,193322,6/27/2024,6/27/2024,7/1/2024,7/31/2024,"1,610.00",TEE,10003XXXXX00003,HEB 160X042.60 KG/MX12.00 M / S355J2+AR / Sulb Bahrain,80.5,80.50,-
01 Invoice,111111111111111,ABC LTD.,28691,7/8/2024,7/8/2024,7/1/2024,7/31/2024,42,STAR,10021XXXXX00003,Stationary,2.1,2.1,
01 Invoice,111111111111111,ABC LTD.,28823,7/9/2024,7/9/2024,7/1/2024,7/31/2024,997.6,STAR,10021XXXXX00003,Stationary,49.88,49.88,
01 Invoice,111111111111111,ABC LTD.,28824,7/9/2024,7/9/2024,7/1/2024,7/31/2024,150,STAR,10021XXXXX00003,Stationary,7.5,7.5,
01 Invoice,111111111111111,ABC LTD.,28825,7/9/2024,7/9/2024,7/1/2024,7/31/2024,144,STAR,10021XXXXX00003,Stationary,7.2,7.20,
01 Invoice,111111111111111,ABC LTD.,29446,7/16/2024,7/16/2024,7/1/2024,7/31/2024,190,STAR,10021XXXXX00003,"Stationary
 BOX FILE",9.5,9.5,
01 Invoice,111111111111111,ABC LTD.,29643,7/18/2024,7/18/2024,7/1/2024,7/31/2024,205.6,STAR,10021XXXXX00003,Stationary,10.28,10.28,
01 Invoice,111111111111111,ABC LTD.,29765,7/20/2024,7/20/2024,7/1/2024,7/31/2024,80,STAR,10021XXXXX00003,Stationary,4,4.00,
01 Invoice,111111111111111,ABC LTD.,100/10020108,6/24/2024,6/24/2024,7/1/2024,7/31/2024,"31,600.80",STON,10023XXXXX00003,"BITUMASTIC 300 M, RED (P500)","1,580.04","1,580.04",
01 Invoice,111111111111111,ABC LTD.,100/10020108,6/24/2024,6/24/2024,7/1/2024,7/31/2024,"31,600.80",STON,10023XXXXX00003,"BITUMASTIC 300 M, BLACK (P900)","1,580.04","1,580.04",
01 Invoice,111111111111111,ABC LTD.,100/10020108,6/24/2024,6/24/2024,7/1/2024,7/31/2024,"3,278.40",STON,10023XXXXX00003,THINNER NO. 10 (7%-10% MIXING ONLY),163.92,163.92,
01 Invoice,111111111111111,ABC LTD.,11245040778,7/4/2024,7/4/2024,7/1/2024,7/31/2024,250,IMDA,10023XXXXX00003,"Skip Removal
 Clear 4.5 CBM Trolley Bin - general waste",12.5,12.50,
01 Invoice,111111111111111,ABC LTD.,11245040778,7/4/2024,7/4/2024,7/1/2024,7/31/2024,207,IMDA,10023XXXXX00003,"Skip Removal
 Dsiposal charges",10.35,10.35,
01 Invoice,111111111111111,ABC LTD.,11245040800,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,330.00",IMDA,10023XXXXX00003,"Skip Removal
 6 CBM Skip-General Waste
 01-06-24 to 30-06-24",66.5,66.50,
01 Invoice,111111111111111,ABC LTD.,11245040800,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,610.00",IMDA,10023XXXXX00003,"Skip Removal
 Dsiposal charges",80.5,80.50,
01 Invoice,111111111111111,ABC LTD.,11245043793,7/22/2024,7/22/2024,7/1/2024,7/31/2024,"4,275.00",IMDA,10023XXXXX00003,"Sewage Tanker Service Charge 5,000 GAL
 06/01/24 TO 06/30/24",213.75,213.75,
01 Invoice,111111111111111,ABC LTD.,11245043793,7/22/2024,7/22/2024,7/1/2024,7/31/2024,"4,000.00",IMDA,10023XXXXX00003,"Sewage Tanker Service
 TSE Water Supply Treated Sewage Effluent Water Tanker Service Charge 5,000 GAL",200,200.00,
01 Invoice,111111111111111,ABC LTD.,11245043793,7/22/2024,7/22/2024,7/1/2024,7/31/2024,400,IMDA,10023XXXXX00003,"Sewage Tanker Service
 TSE Water Supply Treated Sewage Effluent Water Tanker Service Charge 10,,000 GAL",20,20,
01 Invoice,111111111111111,ABC LTD.,1142009489,6/13/2024,6/13/2024,7/1/2024,7/31/2024,"117,998.40",DUBA,10031XXXXX00003,IPE 600X122.00 KG/MX12.0 M,"5,899.92","5,899.92",
01 Invoice,111111111111111,ABC LTD.,1142010052,6/26/2024,6/26/2024,7/1/2024,7/31/2024,"14,212.00",DUBA,10031XXXXX00003,HEA 200X042.30 KG/MX12.00 M,710.6,710.60,
01 Invoice,111111111111111,ABC LTD.,1173,7/30/2024,7/30/2024,7/1/2024,7/31/2024,"6,600.00",AMAN,10043XXXXX00003,"Travel
 Hired charge of the 14 Seat bus with driver for pick up and drop only . Basis on monthly agreed rate 6,600AED monthly .
 For the month of July 2024",330,330.00,
01 Invoice,111111111111111,ABC LTD.,1173,7/30/2024,7/30/2024,7/1/2024,7/31/2024,"3,000.00",AMAN,10043XXXXX00003,"TEMPORARY STAFF
 Hired driver charge for Mr Zarmin Khan for the month of July 2024",150,150.00,
01 Invoice,111111111111111,ABC LTD.,13-1329155,7/9/2024,7/9/2024,7/1/2024,7/31/2024,"1,100.00",FINE,10031XXXXX00003,4.5 '' ANGULAR GRINDER M/C,55,55,
