Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply,Reason of Out-of-Scope Sales treatment
01 Invoice,1.11E+14,ABC LTD.,IN20011998,7/1/2024,7/1/2024,7/31/2024,"34,619.00",0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X06.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011998,7/1/2024,7/1/2024,7/31/2024,"65,999.53",0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X10.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011998,7/1/2024,7/1/2024,7/31/2024,"29,673.54",0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X12.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011998,7/1/2024,7/1/2024,7/31/2024,"115,422.56",0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X20.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011955,7/1/2024,7/1/2024,7/31/2024,"66,640.00",0,Q ST,10053XXXXX00003,PLATE 1.50X03.00X06.50 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000464,7/1/2024,7/1/2024,7/31/2024,"23,899.74",0,TAMA,10026XXXXX00003,"40"" UNEQUAL TEE",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000465,7/1/2024,7/1/2024,7/31/2024,"10,946.92",0,TAMA,10026XXXXX00003,"ANG 45/40""/12.70 MM",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000465,7/1/2024,7/1/2024,7/31/2024,"10,946.92",0,TAMA,10026XXXXX00003,"ANG 45/40""/12.70 MM",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000465,7/1/2024,7/1/2024,7/31/2024,"10,946.92",0,TAMA,10026XXXXX00003,"ANG 45/40""/12.70 MM",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000465,7/1/2024,7/1/2024,7/31/2024,"10,946.92",0,TAMA,10026XXXXX00003,"ANG 45/40""/12.70 MM",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011954,7/1/2024,7/1/2024,7/31/2024,"47,837.30",0,APT,10038XXXXX00003,HR PLATE 3.05X12.00X60.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000463,7/2/2024,7/1/2024,7/31/2024,"11,442.39",0,ARCE,10030XXXXX00003,CSP 1016.00X12.50 MMX12.000 M/CDC,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN70001599,7/2/2024,7/1/2024,7/31/2024,"10,293.48",0,ARCE,10030XXXXX00003,PIPE RACKS - 06.00 M,Same Tax group
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"90,591.33",0,ARCE,XXXXX,"UB 254X146X031.10 KG/MX11.80 M
 item 1",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"41,220.00",0,ARCE,XXXXX,"UB 254X146X031.10 KG/MX11.80 M
 item 2",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"61,902.06",0,ARCE,XXXXX,"UB 254X102X028.30 KG/MX11.80 M
 item 56",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"115,297.26",0,ARCE,XXXXX,"UB 762X267X134.00 KG/MX11.80 M
 item 81",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"195,118.44",0,ARCE,XXXXX,"UB 762X267X134.00 KG/MX11.80 M
 item 82",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"3,346.83",0,ARCE,XXXXX,"UB 533X210X101.00 KG/MX11.80 M
 item 89",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"46,855.62",0,ARCE,XXXXX,"UB 533X210X101.00 KG/MX11.80 M
 item 91",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"66,720.60",0,ARCE,XXXXX,"UB 457X191X067.10 KG/MX11.80 M
 item 96",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011969,7/5/2024,7/1/2024,7/31/2024,"24,877.50",0,ARCE,XXXXX,"UB 533X210X122.00 KG/MX11.80 M
 item 127",Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011972,7/5/2024,7/1/2024,7/31/2024,"752,981.55",0,ARCE,XXXXX,SP 323.80X12.70 MMX10.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011973,7/5/2024,7/1/2024,7/31/2024,"69,512.26",0,ARCE,XXXXX,SP 457.20X12.70 MMX10.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011973,7/5/2024,7/1/2024,7/31/2024,314406.51,0,ARCE,XXXXX,SP 406.40X012.7 MMX10.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011961,7/5/2024,7/1/2024,7/31/2024,"457,404.03",0,ARCE,XXXXX,SP 406.40X12.70 MM(16.00 INCH)X10.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011961,7/5/2024,7/1/2024,7/31/2024,"87,749.36",0,ARCE,XXXXX,SP 406.40X25.40 MM(16.00 INCH)x10.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011956,7/5/2024,7/1/2024,7/31/2024,"48,613.00",0,BERG,10030XXXXX00003,BQ PLATE 3.05X12.00X36.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011959,7/8/2024,7/1/2024,7/31/2024,"26,320.00",0,FABT,10020XXXXX00003,UNEQUAL ANGLE 150X100X10.00 MMX12.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011957,7/8/2024,7/1/2024,7/31/2024,"2,102.14",0,DRY,10004XXXXX00003,UPN 100X050X010.60 KG/MX12.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011957,7/8/2024,7/1/2024,7/31/2024,"3,133.60",0,DRY,10004XXXXX00003,IPE 160X015.80 KG/MX12.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011957,7/8/2024,7/1/2024,7/31/2024,"15,944.53",0,DRY,10004XXXXX00003,HEB 200X061.30 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011958,7/8/2024,7/1/2024,7/31/2024,"22,832.67",0,DRY,10004XXXXX00003,HR PLATE 2.00X12.00X10.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"4,092.93",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-V,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"7,543.87",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-3/3-MPS2-XV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"7,543.87",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-3/3-MPS2-XV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"15,145.24",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-2/3-MPS1-X,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"15,145.24",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-2/3-MPS2-X,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"27,892.86",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-3/3-MPS2-XI,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"27,892.86",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-3/3-MPS2-XI,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,3305.32,0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-1/3-MPS1-IV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"3,305.32",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-1/3-MPS1-IV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"4,050.33",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-1/3-MPS1-VI,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"5,587.23",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-1/3-MPS1-VII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"5,587.23",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-1/3-MPS1-VII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"3,921.61",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-3/3-MPS1-XIII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"3,921.61",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-3/3-MPS1-XIII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"3,305.32",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-IV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"3,305.32",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-IV,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"4,050.33",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-VI,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"5,470.63",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-VII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000487,7/9/2024,7/1/2024,7/31/2024,"5,470.63",0,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-1/3-MPS2-VII,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011960,7/9/2024,7/1/2024,7/31/2024,"3,906.00",0,3C M,10038XXXXX00003,HEB 200X061.30 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000475,7/9/2024,7/1/2024,7/31/2024,"161,460.00",0,EMPO,10038XXXXX00003,CSP 0914.40X12.70 MMX12.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011981,7/12/2024,7/1/2024,7/31/2024,"93,444.00",0,ASSE,10028XXXXX00003,HR PLATE 2.00X06.00X08.00 MM,Goods - OOS - FZ
