Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply
01 Invoice,111111111111111,ABC LTD.,TI5H0000183,6/3/2024,"11,817.00",6/1/2024,6/30/2024,590.85,MIDD,10038XXXXX00003,TABREED SPOOLS- LOT-25
01 Invoice,111111111111111,ABC LTD.,TI5H0000183,6/3/2024,"9,752.00",6/1/2024,6/30/2024,487.60,MIDD,10038XXXXX00003,TABREED SPOOLS- LOT-25
01 Invoice,111111111111111,ABC LTD.,TI5H0000185,6/3/2024,"48,457.56",6/1/2024,6/30/2024,"2,422.88",GALF,10002XXXXX00003,COATED PIPE 168.30X10.97 MM
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"32,457.60",6/1/2024,6/30/2024,"1,622.88",AL B,10039XXXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X12.00 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"1,391.04",6/1/2024,6/30/2024,69.55,AL B,10039XXXXX00003,AU25-SHORT LENGTH-3.60 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"2,472.96",6/1/2024,6/30/2024,123.65,AL B,10039XXXXX00003,AU25-SHORT LENGTH-6.40 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,386.40,6/1/2024,6/30/2024,19.32,AL B,10039XXXXX00003,AU25-SHORT LENGTH-1.00 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"1,159.20",6/1/2024,6/30/2024,57.96,AL B,10039XXXXX00003,AU25-SHORT LENGTH-3.00 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"1,584.24",6/1/2024,6/30/2024,79.21,AL B,10039XXXXX00003,AU25-SHORT LENGTH-4.10 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,154.56,6/1/2024,6/30/2024,7.73,AL B,10039XXXXX00003,AU25-SHORT LENGTH-0.40 M
01 Invoice,111111111111111,ABC LTD.,TI10004958,6/4/2024,"2,357.04",6/1/2024,6/30/2024,117.85,AL B,10039XXXXX00003,AU25-SHORT LENGTH-6.10 M
