Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,1.11111E+14,ABC LTD.,R00521,6/7/2024,6/10/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011850-824-849
 INV#R00521",3.75,3.75,-
01 Invoice,1.11111E+14,ABC LTD.,90248615,6/13/2024,6/19/2024,6/1/2024,6/30/2024,"105,813.60",EMIR,1.0005E+14,10004XXXXX00003,IPEO 360X066.00 KG/MX12.00 M,"5,290.68","5,290.68",
01 Invoice,1.11111E+14,ABC LTD.,90248614,6/13/2024,6/19/2024,6/1/2024,6/30/2024,"95,402.80",EMIR,1.0005E+14,10004XXXXX00003,IPEO 360X066.00 KG/MX12.00 M,"4,770.14","4,770.14",
01 Invoice,1.11111E+14,ABC LTD.,90248613,6/13/2024,6/19/2024,6/1/2024,6/30/2024,"84,057.60",EMIR,1.0005E+14,10004XXXXX00003,IPEO 360X066.00 KG/MX12.00 M,"4,202.88","4,202.88",
01 Invoice,1.11111E+14,ABC LTD.,COI-L083631-24,5/30/2024,6/21/2024,6/1/2024,6/30/2024,"22,900.00",AL F,1.00047E+14,10004XXXXX00003,Hire Charges - Forklift/Crane/Others,"1,145.00","1,145.00",
01 Invoice,1.11111E+14,ABC LTD.,COI-L084887-24,5/30/2024,6/21/2024,6/1/2024,6/30/2024,"10,900.00",AL F,1.00047E+14,10004XXXXX00003,Hire Charges - Forklift/Crane/Others,545,545,
01 Invoice,1.11111E+14,ABC LTD.,24051221,5/31/2024,6/27/2024,6/1/2024,6/30/2024,"1,410.00",SKY,1.00359E+14,10035XXXXX00003,"Courier Services
 May 2024",70.5,70.5,
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400388,6/24/2024,6/29/2024,6/1/2024,6/30/2024,"3,672.60",FABT,1.00209E+14,10020XXXXX00003,"TK Loose Parts R6000- Package 1
 Invoice 4",183.63,183.63,
01 Invoice,1.11111E+14,ABC LTD.,22311 22269,6/4/2024,6/29/2024,6/1/2024,6/30/2024,"423,423.00",ASIA,1.0001E+14,10000XXXXX00003,HEX BOLT/NUT,"21,171.15","21,171.15",
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400339,5/30/2024,6/29/2024,6/1/2024,6/30/2024,"501,612.00",FABT,1.00209E+14,10020XXXXX00003,FABTEC/LIBERIA CHARGES,"25,080.60","25,080.60",
