Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply
01 Invoice,1.11111E+14,ABC LTD.,TI10004950,5/1/2024,"11,522.10",5/1/2024,5/31/2024,576.1,PURE,100328XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X12.00 M - Sacrificial Material
01 Invoice,1.11111E+14,ABC LTD.,TI10004950,5/1/2024,"6,470.74",5/1/2024,5/31/2024,323.54,PURE,100328XXXX00003,C9X09.30 KG/MX12.00 M - Sacrificial Material
01 Invoice,1.11111E+14,ABC LTD.,5HTR000006,5/16/2024,"8,798,253.00",5/1/2024,5/31/2024,"439,912.65",ARCH,100048XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,TI10004950,5/1/2024,"32,007.17",5/1/2024,5/31/2024,"1,600.36",PURE,100328XXXX00003,Rental Damages Claim
01 Invoice,1.11111E+14,ABC LTD.,TI70001375,5/1/2024,950,5/1/2024,5/31/2024,47.5,CHER,100328XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI70001376,5/3/2024,"1,337.76",5/1/2024,5/31/2024,66.89,ALJU,100462XXXX00003,Rental Damages Claim
01 Invoice,1.11111E+14,ABC LTD.,TI70001377,5/3/2024,"24,779.28",5/1/2024,5/31/2024,"1,238.96",CAPE,100035XXXX00003,CORRUGATED SHEET 01.00X03.00X01.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000124,5/3/2024,"6,002.54",5/1/2024,5/31/2024,300.13,PREC,100535XXXX00003,COATED PIPE 0406.40X10.31 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000143,5/3/2024,"7,020.00",5/1/2024,5/31/2024,351,MIDD,100388XXXX00003,TABREED SPOOLS- LOT-21 - INCTD
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000143,5/3/2024,"5,704.00",5/1/2024,5/31/2024,285.2,MIDD,100388XXXX00003,TABREED SPOOLS- LOT-21 - EXCTD
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000125,5/4/2024,"83,221.94",5/1/2024,5/31/2024,"4,161.10",PREC,100535XXXX00003,COATED PIPE 0406.40X10.31 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000125,5/4/2024,"3,598.46",5/1/2024,5/31/2024,179.92,PREC,100535XXXX00003,COATED PIPE 0406.40X10.31 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000134,5/4/2024,"60,202.50",5/1/2024,5/31/2024,"3,010.13",ROBT,100278XXXX00003,COATED PIPE 168.30X09.53 MM
01 Invoice,1.11111E+14,ABC LTD.,5HTR000004,5/16/2024,"2,932,751.20",5/1/2024,5/31/2024,"146,637.56",ARCH,100048XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,5HTR000005,5/16/2024,"2,932,751.20",5/1/2024,5/31/2024,"146,637.56",ARCH,100048XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,TI70001378,5/6/2024,0.64,5/1/2024,5/31/2024,0.03,MODE,104211XXXX00003,TQ PLATE 200 MMX200 MMX30.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001378,5/6/2024,1.34,5/1/2024,5/31/2024,0.07,MODE,104211XXXX00003,SQ PLATE 200 MMX200 MMX30.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001378,5/6/2024,0.4,5/1/2024,5/31/2024,0.02,MODE,104211XXXX00003,PLATE 00.20 X00.20X30.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001378,5/6/2024,1.74,5/1/2024,5/31/2024,0.09,MODE,104211XXXX00003,CONNECTION PLATES
01 Invoice,1.11111E+14,ABC LTD.,TI70001378,5/6/2024,0.87,5/1/2024,5/31/2024,0.04,MODE,104211XXXX00003,STUDS BOLTS WITH 2 NUTS
01 Invoice,1.11111E+14,ABC LTD.,TI70001380,5/7/2024,"25,060.00",5/1/2024,5/31/2024,"1,253.00",LOOT,100030XXXX00003,MS PLATE 2.00X06.00X06.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000126,5/7/2024,"26,451.33",5/1/2024,5/31/2024,"1,322.57",ROBT,100278XXXX00003,COATED PIPE 168.30X26.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001381,5/8/2024,"5,086.80",5/1/2024,5/31/2024,254.34,MAND,100423XXXX00003,HR PLATE 2.00X06.00X05.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000127,5/8/2024,"90,303.75",5/1/2024,5/31/2024,"4,515.19",ROBT,100278XXXX00003,COATED PIPE 168.30X09.53 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001381,5/8/2024,"8,769.60",5/1/2024,5/31/2024,438.48,MAND,100423XXXX00003,W 0360X170X058.00 KG/M (14X06.75X038) LBSX12.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001382,5/9/2024,"14,400.00",5/1/2024,5/31/2024,720,PETR,100351XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000128,5/9/2024,"38,684.32",5/1/2024,5/31/2024,"1,934.22",GALF,100022XXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000128,5/9/2024,"41,988.48",5/1/2024,5/31/2024,"2,099.42",GALF,100022XXXX00003,COATED PIPE 219.10X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,5HICJ-000001235,5/7/2024,"676,186.00",5/1/2024,5/31/2024,"33,809.30",PETR,100351XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,5HICJ-000001238,5/28/2024,"558,690.80",5/1/2024,5/31/2024,"27,934.54",BRAN,NAXXXXNA,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000129,5/10/2024,"63,072.26",5/1/2024,5/31/2024,"3,153.61",GALF,100022XXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000132,5/10/2024,"85,615.37",5/1/2024,5/31/2024,"4,280.77",GALF,100022XXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000132,5/10/2024,"14,510.03",5/1/2024,5/31/2024,725.5,GALF,100022XXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001383,5/10/2024,"14,400.00",5/1/2024,5/31/2024,720,PETR,100351XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000133,5/10/2024,"90,303.75",5/1/2024,5/31/2024,"4,515.19",ROBT,100278XXXX00003,COATED PIPE 168.30X09.53 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000136,5/13/2024,"60,202.50",5/1/2024,5/31/2024,"3,010.13",ROBT,100278XXXX00003,COATED PIPE 168.30X09.53 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000137,5/13/2024,"27,038.22",5/1/2024,5/31/2024,"1,351.91",GALF,100022XXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000137,5/13/2024,"77,876.75",5/1/2024,5/31/2024,"3,893.84",GALF,100022XXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000144,5/13/2024,"11,088.17",5/1/2024,5/31/2024,554.41,AL F,100252XXXX00003,COATED PIPE 168.30X07.11 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000144,5/13/2024,"26,302.95",5/1/2024,5/31/2024,"1,315.15",AL F,100252XXXX00003,COATED PIPE 219.10X06.35 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000181,5/30/2024,"328,386.54",5/1/2024,5/31/2024,"16,419.33",PETR,100351XXXX00003,COATED PIPE 219.10X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"17,001.60",5/1/2024,5/31/2024,850.07,TECH,100222XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X14.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"1,958.33",5/1/2024,5/31/2024,97.92,TECH,100222XXXX00003,AU25-SHORT LENGTH-2.36 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"1,958.33",5/1/2024,5/31/2024,97.92,TECH,100222XXXX00003,AU25-SHORT LENGTH-6.97 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"1,958.33",5/1/2024,5/31/2024,97.92,TECH,100222XXXX00003,AU20-SHORT LENGTH-2.27 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001386,5/14/2024,"10,132.78",5/1/2024,5/31/2024,506.64,TECH,100222XXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X12.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001386,5/14/2024,"19,054.48",5/1/2024,5/31/2024,952.72,TECH,100222XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X14.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001386,5/14/2024,"2,956.10",5/1/2024,5/31/2024,147.8,TECH,100222XXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X14.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001386,5/14/2024,"4,772.59",5/1/2024,5/31/2024,238.63,TECH,100222XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X12.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001386,5/14/2024,"42,861.33",5/1/2024,5/31/2024,"2,143.07",TECH,100222XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X14.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"27,000.40",5/1/2024,5/31/2024,"1,350.02",TECH,100222XXXX00003,Rental Damages Claim - U Bend & Repair charges
01 Invoice,1.11111E+14,ABC LTD.,TI70001385,5/14/2024,"7,812.00",5/1/2024,5/31/2024,390.6,TECH,100222XXXX00003,C9X09.30 KG/MX14.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001417,5/31/2024,"224,292.44",5/1/2024,5/31/2024,"11,214.62",AL N,100251XXXX00003,Rental Income SP - May'24 Invoice
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000139,5/14/2024,"98,982.74",5/1/2024,5/31/2024,"4,949.14",DESC,100337XXXX00003,COATED PIPE 168.30X12.50 MM
01 Invoice,1.11111E+14,ABC LTD.,7TR1800480,5/7/2024,"190,476.20",5/1/2024,5/31/2024,"9,523.81",DENH,100206XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000141,5/14/2024,"17,169.60",5/1/2024,5/31/2024,858.48,GALF,100022XXXX00003,COATED PIPE 168.30X18.26 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000141,5/14/2024,"50,382.05",5/1/2024,5/31/2024,"2,519.10",GALF,100022XXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001384,5/14/2024,"9,600.00",5/1/2024,5/31/2024,480,PETR,100351XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI10004951,5/15/2024,"1,536.12",5/1/2024,5/31/2024,76.81,SPEC,100354XXXX00003,C9X09.30 KG/MX02.00 M
01 Invoice,1.11111E+14,ABC LTD.,7TR1800481,5/7/2024,"187,134.00",5/1/2024,5/31/2024,"9,356.70",DENH,100206XXXX00003,Advance Receipt
01 Invoice,1.11111E+14,ABC LTD.,TI70001390,5/15/2024,"17,650.00",5/1/2024,5/31/2024,882.5,AL N,100251XXXX00003,TRENCH BOX 4.37X03.00X20 MM TYPE C (BASE)
01 Invoice,1.11111E+14,ABC LTD.,TI10004951,5/15/2024,"5,987.25",5/1/2024,5/31/2024,299.36,SPEC,100354XXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X11.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001387,5/15/2024,950,5/1/2024,5/31/2024,47.5,CHER,100328XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI10004951,5/15/2024,"5,700.00",5/1/2024,5/31/2024,285,SPEC,100354XXXX00003,Rental Damages Claim -U Bend charges
01 Invoice,1.11111E+14,ABC LTD.,TI10004951,5/15/2024,"1,200.00",5/1/2024,5/31/2024,60,SPEC,100354XXXX00003,Rental Damages Claim - Repair cost
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000145,5/15/2024,"39,361.60",5/1/2024,5/31/2024,"1,968.08",AL F,100252XXXX00003,COATED FITTINGS-AL FANAR
01 Invoice,1.11111E+14,ABC LTD.,TI70001388,5/16/2024,"4,232.60",5/1/2024,5/31/2024,211.63,AL B,100280XXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X09.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001388,5/16/2024,"3,761.75",5/1/2024,5/31/2024,188.09,AL B,100280XXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X08.00 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001388,5/16/2024,"6,600.00",5/1/2024,5/31/2024,330,AL B,100280XXXX00003,Rental Damages Claim - Sheet Piles received as U-Bend
01 Invoice,1.11111E+14,ABC LTD.,TI70001388,5/16/2024,600,5/1/2024,5/31/2024,30,AL B,100280XXXX00003,Rental Damages Claim - Handling Charges
01 Invoice,1.11111E+14,ABC LTD.,TI20000250,5/16/2024,797.5,5/1/2024,5/31/2024,39.88,NMDC,100269XXXX00003,"Testing Charges
 SI No. 10849"
01 Invoice,1.11111E+14,ABC LTD.,TI20000250,5/16/2024,"23,127.56",5/1/2024,5/31/2024,"1,156.38",NMDC,100269XXXX00003,"Freight Charges
 SI No. 15380"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000146,5/16/2024,"82,534.91",5/1/2024,5/31/2024,"4,126.75",GALF,100022XXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000148,5/16/2024,"28,876.65",5/1/2024,5/31/2024,"1,443.83",AL F,100252XXXX00003,COATED PIPE 168.30X07.11 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000148,5/16/2024,"17,314.18",5/1/2024,5/31/2024,865.71,AL F,100252XXXX00003,COATED PIPE 219.10X06.35 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000147,5/16/2024,"88,095.18",5/1/2024,5/31/2024,"4,404.76",MATR,100036XXXX00003,COATED PIPE 219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001389,5/17/2024,"9,273.60",5/1/2024,5/31/2024,463.68,ACTI,100217XXXX00003,AU25-(750X450X14.50 MMX110.40 KG/M)X14.00 M -Sacrificial material RNTSO-000036
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000150,5/18/2024,"39,873.60",5/1/2024,5/31/2024,"1,993.68",ROBT,100278XXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001392,5/20/2024,813.16,5/1/2024,5/31/2024,40.66,DENH,100206XXXX00003,EQUAL ANGLE 050X050X05.00 MMX06.10 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001392,5/20/2024,"1,038.58",5/1/2024,5/31/2024,51.93,DENH,100206XXXX00003,EQUAL ANGLE 080X080X08.00 MMX06.10 M
01 Invoice,1.11111E+14,ABC LTD.,TI70001392,5/20/2024,"47,054.24",5/1/2024,5/31/2024,"2,352.71",DENH,100206XXXX00003,HEB 120X026.70 KG/MX11.80 M
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000151,5/20/2024,"39,873.60",5/1/2024,5/31/2024,"1,993.68",ROBT,100278XXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001391,5/20/2024,"4,800.00",5/1/2024,5/31/2024,240,PETR,100351XXXX00003,Transport Charges
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000149,5/20/2024,"78,656.53",5/1/2024,5/31/2024,"3,932.83",MATR,100036XXXX00003,COATED PIPE 219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000157,5/20/2024,"15,731.31",5/1/2024,5/31/2024,786.57,MATR,100036XXXX00003,COATED PIPE 219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000152,5/20/2024,"20,633.73",5/1/2024,5/31/2024,"1,031.69",GALF,100022XXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000152,5/20/2024,"82,534.91",5/1/2024,5/31/2024,"4,126.74",GALF,100022XXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"158,962.50",5/1/2024,5/31/2024,"7,948.13",DENH,100206XXXX00003,HR PLATE 2.50X12.00X40.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000154,5/21/2024,"4,797.00",5/1/2024,5/31/2024,239.85,MIDD,100388XXXX00003,"28"" SPOOL CS03 LTH 03.00 M INCTD"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000154,5/21/2024,702,5/1/2024,5/31/2024,35.1,MIDD,100388XXXX00003,"14"" SPOOL APVCH3B LTH 04.00 MTR INCTD"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000154,5/21/2024,"4,140.00",5/1/2024,5/31/2024,207,MIDD,100388XXXX00003,"28"" SPOOL CS03 LTH 03.00 M EXCTD"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000154,5/21/2024,552,5/1/2024,5/31/2024,27.6,MIDD,100388XXXX00003,"14"" SPOOL APVCH3B LTH 04.00 MTR EXCTD"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000155,5/21/2024,"19,936.80",5/1/2024,5/31/2024,996.84,ROBT,100278XXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000155,5/21/2024,"50,159.90",5/1/2024,5/31/2024,"2,508.00",ROBT,100278XXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001395,5/22/2024,962.78,5/1/2024,5/31/2024,48.14,DENH,100206XXXX00003,"UNEQUAL ANGLE 125X090X10.00 MMX12.00 M
 item 1-1 pcs"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000156,5/22/2024,"33,127.27",5/1/2024,5/31/2024,"1,656.36",GALF,100022XXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000156,5/22/2024,"60,105.54",5/1/2024,5/31/2024,"3,005.28",GALF,100022XXXX00003,COATED PIPE 219.10X15.88 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000158,5/22/2024,"94,387.83",5/1/2024,5/31/2024,"4,719.39",MATR,100036XXXX00003,COATED PIPE 219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001393,5/23/2024,"3,257.60",5/1/2024,5/31/2024,162.88,DENH,100206XXXX00003,"UNEQUAL ANGLE 125X090X10.00 MMX05.80 M
 item 1-7 pcs"
01 Invoice,1.11111E+14,ABC LTD.,TI70001393,5/23/2024,"11,449.75",5/1/2024,5/31/2024,572.49,DENH,100206XXXX00003,"EQUAL ANGLE 070X070X10.00 MMX06.00 M
 item 2"
01 Invoice,1.11111E+14,ABC LTD.,TI70001393,5/23/2024,"4,819.75",5/1/2024,5/31/2024,240.99,DENH,100206XXXX00003,"EQUAL ANGLE 070X070X10.00 MMX06.00 M
 item 2"
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000131,5/10/2024,"158,182.98",5/1/2024,5/31/2024,"7,909.15",PETR,100351XXXX00003,COATED PIPE 219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001396,5/23/2024,"20,002.50",5/1/2024,5/31/2024,"1,000.13",DENH,100206XXXX00003,"UPN 220X080X029.40 KG/MX06.30 M
 item 17"
01 Invoice,1.11111E+14,ABC LTD.,TI70001397,5/23/2024,"33,570.00",5/1/2024,5/31/2024,"1,678.50",DENH,100206XXXX00003,"UPN 220X080X029.40 KG/MX06.30 M
 item 17"
01 Invoice,1.11111E+14,ABC LTD.,TI70001396,5/23/2024,"7,582.50",5/1/2024,5/31/2024,379.13,DENH,100206XXXX00003,"HEA 120X019.90 KG/MX11.80 M
 item 1"
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"95,377.48",5/1/2024,5/31/2024,"4,768.87",DENH,100206XXXX00003,HR PLATE 2.50X12.00X30.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000153,5/21/2024,"155,990.99",5/1/2024,5/31/2024,"7,799.55",GALF,100022XXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"31,792.50",5/1/2024,5/31/2024,"1,589.62",DENH,100206XXXX00003,HR PLATE 2.00X12.00X50.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"15,896.25",5/1/2024,5/31/2024,794.81,DENH,100206XXXX00003,HR PLATE 2.00X06.00X50.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001396,5/23/2024,"13,117.50",5/1/2024,5/31/2024,655.88,DENH,100206XXXX00003,"HEB 700X241.00 KG/MX11.80 M
 item 9"
01 Invoice,1.11111E+14,ABC LTD.,TI70001396,5/23/2024,"17,239.50",5/1/2024,5/31/2024,861.98,DENH,100206XXXX00003,"HEM 800X317.00 KG/MX11.80 M
 item 10"
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"38,151.00",5/1/2024,5/31/2024,"1,907.55",DENH,100206XXXX00003,MS PLATE2.00X12.00X12.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI70001394,5/23/2024,"9,537.75",5/1/2024,5/31/2024,476.89,DENH,100206XXXX00003,MS PLATE 2.00X12.00X15.00 MM
01 Invoice,1.11111E+14,ABC LTD.,TI5H0000159,5/23/2024,"44,197.41",5/1/2024,5/31/2024,"2,209.87",GALF,100022XXXX00003,COATED PIPE 168.30X12.70 MM
