Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,240530028,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"790,938.32",ASSE,10028XXXXX00003,Raw Materials,"39,546.91","39,546.91",-
01 Invoice,111111111111111,ABC LTD.,6160084756,5/7/2024,5/30/2024,5/1/2024,5/31/2024,"543,548.36",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"27,177.42","27,177.42",-
01 Invoice,111111111111111,ABC LTD.,6160084781,5/9/2024,5/30/2024,5/1/2024,5/31/2024,"407,661.27",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"20,383.07","20,383.07",-
01 Invoice,111111111111111,ABC LTD.,52430092,4/5/2024,5/14/2024,5/1/2024,5/31/2024,"389,700.00",APT,10038XXXXX00003,"Hire of storage space of 30,000 Sq.mtr From 01.12.23 tp 29.02.24.
 Afcons Pipes","19,485.00","19,485.00",-
01 Invoice,111111111111111,ABC LTD.,240530054,5/27/2024,5/30/2024,5/1/2024,5/31/2024,"317,896.52",ASSE,10028XXXXX00003,BOLTS - HIGH STRENGTH ASTM A325,"15,894.80","15,894.80",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"248,169.19",ASSE,10028XXXXX00003,Raw Materials,"12,408.50","12,408.50",-
01 Invoice,111111111111111,ABC LTD.,CD8624011801,5/16/2024,5/30/2024,5/1/2024,5/31/2024,"222,310.00",JOTU,10005XXXXX00003,JOTA PIPE HT 1020 /21 S GREY SMOOTH,"11,115.50","11,115.50",-
01 Invoice,111111111111111,ABC LTD.,CD8624011185,5/10/2024,5/30/2024,5/1/2024,5/31/2024,"215,000.00",JOTU,10005XXXXX00003,JOTA PIPE HT 1020 /21 S GREY SMOOTH,"10,750.00","10,750.00",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"201,137.10",ASSE,10028XXXXX00003,Raw Materials,"10,056.85","10,056.85",-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"163,378.51",ASSE,10028XXXXX00003,Raw Materials,"8,169.04","8,169.04",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"151,191.83",ASSE,10028XXXXX00003,Raw Materials,"7,559.58","7,559.58",-
01 Invoice,111111111111111,ABC LTD.,CD8624012835,5/28/2024,5/30/2024,5/1/2024,5/31/2024,"150,000.00",JOTU,10005XXXXX00003,EPOXY POWDER J-PIPE AC-1003 XR-21S GREEN,"7,500.00","7,500.00",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"142,842.92",ASSE,10028XXXXX00003,Raw Materials,"7,142.13","7,142.13",-
01 Invoice,111111111111111,ABC LTD.,52430162,4/27/2024,5/14/2024,5/1/2024,5/31/2024,"129,900.00",APT,10038XXXXX00003,"Hire of storage space of 30,000 Sq.mtr From 01.03.2024 to 31.03.2024
 Afcons Pipes","6,495.00","6,495.00",-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"125,893.45",ASSE,10028XXXXX00003,Raw Materials,"6,294.70","6,294.70",-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"101,538.31",ASSE,10028XXXXX00003,Raw Materials,"5,076.94","5,076.94",-
01 Invoice,111111111111111,ABC LTD.,CD8624011802,5/16/2024,5/31/2024,5/1/2024,5/31/2024,"100,190.00",JOTU,10005XXXXX00003,JOTA PIPE HT 1020 /21 S GREY SMOOTH,"5,009.50","5,009.50",-
01 Invoice,111111111111111,ABC LTD.,5427240788,28/05/2024,5/31/2024,5/1/2024,5/31/2024,"93,320.00",Shar,10039XXXXX00003,5GJ-SEWA-ELECTRICITY & WATER PAYMENT FOR THE MONTH OF MAY'24-5427240788,"4,666.00","4,666.00",-
01 Invoice,111111111111111,ABC LTD.,CD8624011917,5/17/2024,5/31/2024,5/1/2024,5/31/2024,"84,400.00",JOTU,10005XXXXX00003,JOTA PIPE DL 3002 /15 S BLUE SMOOTH,"4,220.00","4,220.00",-
01 Invoice,111111111111111,ABC LTD.,CI006212/1,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"80,421.00",LIBE,10025XXXXX00003,Temporary Staff Cost,"4,021.05","4,021.05",-
01 Invoice,111111111111111,ABC LTD.,62/MAY/AMDF/24,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"79,607.00",AL S,10058XXXXX00003,TEMPORARY STAFF- HELPER-MAY2024,"3,980.35","3,980.35",-
01 Invoice,111111111111111,ABC LTD.,240530031,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"68,916.81",ASSE,10028XXXXX00003,Raw Materials,"3,445.80","3,445.80",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"68,315.85",ASSE,10028XXXXX00003,Raw Materials,"3,415.79","3,415.79",-
01 Invoice,111111111111111,ABC LTD.,270467,5/17/2024,5/31/2024,5/1/2024,5/31/2024,"57,501.60",ZAKE,10007XXXXX00003,WELDING CABLE 120 SQM,"2,875.08","2,875.08",-
