Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Amount AED (before VAT),Reporting period from,Reporting period to,VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply
01 Invoice,111111111111111,ABC LTD.,TI70001803,9/2/2024,555.38,9/1/2024,9/30/2024,27.77,ORIO,10023XXXXX00003,Rental Income SP - Sept month
01 Invoice,111111111111111,ABC LTD.,TI70001802,9/2/2024,"1,552.31",9/1/2024,9/30/2024,77.62,SUPE,10004XXXXX00003,UPN 220X080X029.40 KG/MX12.00 M
01 Invoice,111111111111111,ABC LTD.,TI5H0000373,9/2/2024,"74,365.84",9/1/2024,9/30/2024,"3,718.29",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000372,9/2/2024,"112,226.64",9/1/2024,9/30/2024,"5,611.33",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000368,9/2/2024,"80,668.79",9/1/2024,9/30/2024,"4,033.44",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000369,9/2/2024,"26,889.56",9/1/2024,9/30/2024,"1,344.48",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000370,9/2/2024,"80,078.31",9/1/2024,9/30/2024,"4,003.92",ARCH,10004XXXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000371,9/2/2024,"60,058.71",9/1/2024,9/30/2024,"3,002.94",ARCH,10004XXXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000378,9/3/2024,"114,684.17",9/1/2024,9/30/2024,"5,734.21",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000375,9/3/2024,"38,322.17",9/1/2024,9/30/2024,"1,916.11",GALF,10002XXXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000375,9/3/2024,"15,423.00",9/1/2024,9/30/2024,771.15,GALF,10002XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000374,9/3/2024,"48,367.60",9/1/2024,9/30/2024,"2,418.38",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000379,9/3/2024,"21,166.82",9/1/2024,9/30/2024,"1,058.34",CHIN,10025XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000376,9/3/2024,"80,078.31",9/1/2024,9/30/2024,"4,003.92",ARCH,10004XXXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000377,9/3/2024,"57,913.78",9/1/2024,9/30/2024,"2,895.69",ARCH,10004XXXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI10004977,9/4/2024,"28,200.00",9/1/2024,9/30/2024,"1,410.00",E T,10039XXXXX00003,Rental Damages Claim - Cost for damage with repairable & loss tonnage for returned material
01 Invoice,111111111111111,ABC LTD.,TI10004977,9/4/2024,"139,536.00",9/1/2024,9/30/2024,"6,976.80",E T,10039XXXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X12.00 M
01 Invoice,111111111111111,ABC LTD.,TI10004977,9/4/2024,"6,783.00",9/1/2024,9/30/2024,339.15,E T,10039XXXXX00003,AU20-(750X444X12.00 MMX096.90 KG/M)X14.00 M
01 Invoice,111111111111111,ABC LTD.,TI10004977,9/4/2024,"5,580.00",9/1/2024,9/30/2024,279.00,E T,10039XXXXX00003,C9X09.30 KG/MX12.00 M
01 Invoice,111111111111111,ABC LTD.,TI5H0000380,9/4/2024,"160,557.84",9/1/2024,9/30/2024,"8,027.89",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000381,9/4/2024,"80,668.79",9/1/2024,9/30/2024,"4,033.44",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000382,9/4/2024,"53,779.17",9/1/2024,9/30/2024,"2,688.96",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001804,9/5/2024,"9,693.70",9/1/2024,9/30/2024,484.69,APT,10025XXXXX00003,HEB 400X155.00 KG/MX11.80 M
01 Invoice,111111111111111,ABC LTD.,TI5H0000384,9/5/2024,"39,303.86",9/1/2024,9/30/2024,"1,965.19",GALF,10002XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000390,9/5/2024,"160,557.84",9/1/2024,9/30/2024,"8,027.89",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000383,9/5/2024,"63,681.33",9/1/2024,9/30/2024,"3,184.07",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000383,9/5/2024,"36,873.45",9/1/2024,9/30/2024,"1,843.67",GALF,10002XXXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000393,9/6/2024,"68,810.49",9/1/2024,9/30/2024,"3,440.52",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000387,9/6/2024,"165,771.77",9/1/2024,9/30/2024,"8,288.59",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000385,9/6/2024,"80,668.79",9/1/2024,9/30/2024,"4,033.44",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000386,9/6/2024,"53,779.17",9/1/2024,9/30/2024,"2,688.96",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000392,9/7/2024,"82,885.90",9/1/2024,9/30/2024,"4,144.30",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000389,9/7/2024,"45,873.67",9/1/2024,9/30/2024,"2,293.68",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000391,9/7/2024,"45,873.67",9/1/2024,9/30/2024,"2,293.68",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000388,9/7/2024,"101,402.07",9/1/2024,9/30/2024,"5,070.10",GALF,10002XXXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000399,9/9/2024,"68,810.49",9/1/2024,9/30/2024,"3,440.52",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000395,9/9/2024,"91,747.35",9/1/2024,9/30/2024,"4,587.37",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000394,9/9/2024,"80,759.43",9/1/2024,9/30/2024,"4,037.97",ROBT,10027XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000396,9/9/2024,"107,558.35",9/1/2024,9/30/2024,"5,377.92",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000397,9/9/2024,"110,514.19",9/1/2024,9/30/2024,"5,525.71",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000398,9/9/2024,"27,628.55",9/1/2024,9/30/2024,"1,381.43",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001805,9/10/2024,"76,030.78",9/1/2024,9/30/2024,"3,801.54",INTE,10030XXXXX00003,MS PLATE 2.00X12.00X06.00 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000403,9/10/2024,"121,675.77",9/1/2024,9/30/2024,"6,083.79",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000400,9/10/2024,"91,747.35",9/1/2024,9/30/2024,"4,587.37",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000401,9/10/2024,"68,810.49",9/1/2024,9/30/2024,"3,440.52",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000402,9/10/2024,"41,175.41",9/1/2024,9/30/2024,"2,058.77",GALF,10002XXXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000406,9/11/2024,"73,005.46",9/1/2024,9/30/2024,"3,650.27",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000404,9/11/2024,"11,168.82",9/1/2024,9/30/2024,558.44,ARAB,10022XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000407,9/11/2024,"68,645.54",9/1/2024,9/30/2024,"3,432.28",ROBT,10027XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000405,9/11/2024,"160,557.84",9/1/2024,9/30/2024,"8,027.89",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000408,9/11/2024,"80,668.79",9/1/2024,9/30/2024,"4,033.44",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000409,9/11/2024,"53,779.17",9/1/2024,9/30/2024,"2,688.96",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000410,9/11/2024,"55,257.21",9/1/2024,9/30/2024,"2,762.86",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000411,9/11/2024,"165,771.77",9/1/2024,9/30/2024,"8,288.59",ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000412,9/12/2024,"60,618.98",9/1/2024,9/30/2024,"3,030.95",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000412,9/12/2024,"7,121.82",9/1/2024,9/30/2024,356.09,KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000413,9/12/2024,"142,501.36",9/1/2024,9/30/2024,"7,125.07",STEE,10023XXXXX00003,COATED PIPE 323.90X09.53 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000414,9/12/2024,"1,211.33",9/1/2024,9/30/2024,60.57,GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000414,9/12/2024,"47,453.55",9/1/2024,9/30/2024,"2,372.68",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000415,9/12/2024,"121,675.77",9/1/2024,9/30/2024,"6,083.79",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000416,9/12/2024,"88,835.61",9/1/2024,9/30/2024,"4,441.78",KENT,10025XXXXX00003,COATED PIPE 219.10X14.27 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000419,9/13/2024,"205,817.46",9/1/2024,9/30/2024,"10,290.87",AL A,10032XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000421,9/13/2024,"97,340.61",9/1/2024,9/30/2024,"4,867.03",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000422,9/13/2024,"73,005.46",9/1/2024,9/30/2024,"3,650.27",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000417,9/13/2024,"119,778.73",9/1/2024,9/30/2024,"5,988.94",KENT,10025XXXXX00003,COATED PIPE 355.60X07.92 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000418,9/13/2024,"66,397.81",9/1/2024,9/30/2024,"3,319.89",ROBT,10027XXXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000423,9/13/2024,"107,558.35",9/1/2024,9/30/2024,"5,377.92",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000435,9/13/2024,"134,447.96",9/1/2024,9/30/2024,"6,722.40",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000420,9/13/2024,"9,209.49",9/1/2024,9/30/2024,460.47,ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000420,9/13/2024,"209,381.64",9/1/2024,9/30/2024,"10,469.08",ARCH,10004XXXXX00003,COATED PIPE 0457.20X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000451,9/16/2024,"44,070.00",9/1/2024,9/30/2024,"2,203.50",ARCH,10004XXXXX00003,PQT CHARGES
01 Invoice,111111111111111,ABC LTD.,TI5H0000432,9/16/2024,"268,895.98",9/1/2024,9/30/2024,"13,444.80",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000447,9/16/2024,"66,397.81",9/1/2024,9/30/2024,"3,319.89",ROBT,10027XXXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000446,9/16/2024,"74,486.05",9/1/2024,9/30/2024,"3,724.30",AL A,10032XXXXX00003,COATED PIPE 114.30X11.13 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000446,9/16/2024,"116,412.90",9/1/2024,9/30/2024,"5,820.65",AL A,10032XXXXX00003,COATED PIPE 114.30X08.56 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000424,9/16/2024,"167,690.21",9/1/2024,9/30/2024,"8,384.51",KENT,10025XXXXX00003,COATED PIPE 355.60X07.92 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000425,9/16/2024,"2,824.41",9/1/2024,9/30/2024,141.22,ARCH,10004XXXXX00003,COATED PIPE 0323.90X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000426,9/16/2024,"10,745.00",9/1/2024,9/30/2024,537.25,ARCH,10004XXXXX00003,COATED PIPE 0323.90X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000427,9/16/2024,885.07,9/1/2024,9/30/2024,44.25,ARCH,10004XXXXX00003,COATED PIPE 0273.10X14.50 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000427,9/16/2024,"4,200.94",9/1/2024,9/30/2024,210.05,ARCH,10004XXXXX00003,COATED PIPE 0273.10X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000428,9/16/2024,772.07,9/1/2024,9/30/2024,38.60,ARCH,10004XXXXX00003,COATED PIPE 0219.10X15.09 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000428,9/16/2024,"12,701.12",9/1/2024,9/30/2024,635.06,ARCH,10004XXXXX00003,COATED PIPE 0219.10X10.31 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000428,9/16/2024,"39,323.92",9/1/2024,9/30/2024,"1,966.20",ARCH,10004XXXXX00003,COATED PIPE 0219.10X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000429,9/16/2024,"84,179.07",9/1/2024,9/30/2024,"4,208.95",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI20000261,9/17/2024,208.57,9/1/2024,9/30/2024,10.43,ABU,10003XXXXX00003,Custom Duty Cahrgers 5% with Vat
01 Invoice,111111111111111,ABC LTD.,TI20000262,9/17/2024,79.13,9/1/2024,9/30/2024,3.96,ABU,10003XXXXX00003,Custom Duty Cahrgers 5% with Vat
01 Invoice,111111111111111,ABC LTD.,TI5H0000430,9/17/2024,"83,955.97",9/1/2024,9/30/2024,"4,197.80",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000431,9/17/2024,"110,724.95",9/1/2024,9/30/2024,"5,536.25",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000434,9/17/2024,"26,200.10",9/1/2024,9/30/2024,"1,310.01",AJMA,10006XXXXX00003,COATED PIPE 0114.30X06.02 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000433,9/17/2024,"167,690.21",9/1/2024,9/30/2024,"8,384.51",KENT,10025XXXXX00003,COATED PIPE 355.60X07.92 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000452,9/17/2024,"242,006.25",9/1/2024,9/30/2024,"12,100.31",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000441,9/18/2024,"20,167.83",9/1/2024,9/30/2024,"1,008.39",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000441,9/18/2024,"29,858.27",9/1/2024,9/30/2024,"1,492.91",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000442,9/18/2024,"80,668.56",9/1/2024,9/30/2024,"4,033.43",PETR,10035XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000448,9/18/2024,"119,778.73",9/1/2024,9/30/2024,"5,988.94",KENT,10025XXXXX00003,COATED PIPE 355.60X07.92 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000439,9/18/2024,"9,959.70",9/1/2024,9/30/2024,497.99,ROBT,10027XXXXX00003,COATED PIPE 114.30X13.49 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000439,9/18/2024,"21,910.78",9/1/2024,9/30/2024,"1,095.54",ROBT,10027XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000439,9/18/2024,"9,447.03",9/1/2024,9/30/2024,472.35,ROBT,10027XXXXX00003,COATED PIPE 168.30X15.88 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000436,9/18/2024,"51,453.44",9/1/2024,9/30/2024,"2,572.67",AJMA,10006XXXXX00003,COATED PIPE 0114.30X06.02 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000437,9/18/2024,"195,597.32",9/1/2024,9/30/2024,"9,779.87",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000438,9/18/2024,"195,597.32",9/1/2024,9/30/2024,"9,779.87",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000440,9/18/2024,"123,984.70",9/1/2024,9/30/2024,"6,199.24",MATR,10003XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001806,9/19/2024,"3,100.00",9/1/2024,9/30/2024,155.00,INTE,10030XXXXX00003,Transport Charges
01 Invoice,111111111111111,ABC LTD.,TI70001806,9/19/2024,"32,500.00",9/1/2024,9/30/2024,"1,625.00",INTE,10030XXXXX00003,MS PLATE 2.00X12.00X10.00 MM
01 Invoice,111111111111111,ABC LTD.,TI5H0000449,9/19/2024,"194,681.23",9/1/2024,9/30/2024,"9,734.06",GALF,10002XXXXX00003,COATED PIPE 168.30X12.70 MM
01 Invoice,111111111111111,ABC LTD.,TI70001807,9/20/2024,"4,001.62",9/1/2024,9/30/2024,200.08,INTE,10030XXXXX00003,MS PLATE 2.00X12.00X06.00 MM
