Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Location of the Supplier,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,110015404,8/30/2024,9/1/2024,9/30/2024,"18,897.00",ARCE,IND,"Training Expenses – (E)
 Reinvoicing training fees H1 2024 - AM University
 Nikhil GARG
 LP Engage -
 KFLS&P
 assessment AM
 Engage 3",944.85
01 Invoice,111111111111111,ABC LTD.,110015404,8/30/2024,9/1/2024,9/30/2024,"18,897.00",ARCE,LUX,"Rebillable – (E)
 ARCELORMITTAL PROJECTS NETHERLANDS B.V.
 AMBER AGRAWAL
 Reinvoicing training fees H1 2024 - AM University
 LP Engage -
 KFLS&P
 assessment AM
 Engage 3",944.85
01 Invoice,111111111111111,ABC LTD.,2410012077,9/25/2024,9/1/2024,9/30/2024,"66,768.99",ARCE,NLD,"Corporate Fees
 Management Fees Business Line Energy
 Projects July - September 2024","3,338.45"
01 Invoice,111111111111111,ABC LTD.,BA5/2409605,9/10/2024,9/1/2024,9/30/2024,"3,737.72",ARCE,NLD,Sea Frieght Inbound,186.89
01 Invoice,111111111111111,ABC LTD.,BA5/2409605.,9/10/2024,9/1/2024,9/30/2024,"2,693.45",ARCE,BEL,Sea Frieght Inbound,134.67
01 Invoice,111111111111111,ABC LTD.,SMDYN/001/09-2024,9/9/2024,9/1/2024,9/30/2024,"13,771.88",SMDY,IND,"Professional /Consultancy Fees
 Microsoft Dynamics AX 2012 R3 Support Services
 for the period of Aug to Oct 2024 (for 12.5 person days contracted)",688.59
01 Invoice,111111111111111,ABC LTD.,PMS/100127/0160/2024-2025,9/17/2024,9/1/2024,9/30/2024,440.70,RENE,TUR,OPERATION EXPENSES,22.04
01 Invoice,111111111111111,ABC LTD.,GIB2024000000006,9/11/2024,9/1/2024,9/30/2024,242.58,EURO,IND,OTHER SERVICES CHARGES,12.13
01 Invoice,111111111111111,ABC LTD.,I0033641,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - NURUL HODA,1.84
01 Invoice,111111111111111,ABC LTD.,I0033642,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - SRITAM PRADHAN,1.84
01 Invoice,111111111111111,ABC LTD.,I0033643,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - ANKIT MISHRA,1.84
01 Invoice,111111111111111,ABC LTD.,I0033644,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Barmeshwar Yadav - Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033645,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - HARIKRISHNAN MUMBALATH,1.84
01 Invoice,111111111111111,ABC LTD.,I0033646,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - KULDIP KUMAR,1.84
01 Invoice,111111111111111,ABC LTD.,I0033647,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - SUDARSHAN SAHOO,1.84
01 Invoice,111111111111111,ABC LTD.,I0033648,9/1/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - BISHAL KUMAR,1.84
01 Invoice,111111111111111,ABC LTD.,I0033683,9/3/2024,9/1/2024,9/30/2024,866.71,WORL,IND,Air Ticket Expenses-(E) - ASHOK SINGH- DEL/DXB,43.34
