Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2202,8/5/2024,9/1/2024,9/1/2024,9/30/2024,"9,000.00",AL I,10020XXXXX00003,AC maintenance,450,450.00,-
01 Invoice,111111111111111,ABC LTD.,IN0124800,8/28/2024,9/1/2024,9/1/2024,9/30/2024,"5,000.00",HAMR,10039XXXXX00003,Rental Charges – (E)- Land rent - Additional Facility - Temporary plot HE - 03,250,250.00,-
01 Invoice,111111111111111,ABC LTD.,24347,9/7/2024,9/7/2024,9/1/2024,9/30/2024,750.00,CASH,NOT RXXXXXTERED,WARNING LIGHT 220 V,37.5,37.50,-
01 Invoice,111111111111111,ABC LTD.,CINV-0002542,9/11/2024,9/11/2024,9/1/2024,9/30/2024,178.60,CASH,NOT RXXXXXTERED,"HSE Expenses-Miracool Plus Cool vest - 
 Techniche",8.93,8.93,-
01 Invoice,111111111111111,ABC LTD.,32713,9/11/2024,9/11/2024,9/1/2024,9/30/2024,18.00,CASH,NOT RXXXXXTERED,Dry Ice Pellets,0.9,0.90,-
01 Invoice,111111111111111,ABC LTD.,45761,9/12/2024,9/12/2024,9/1/2024,9/30/2024,100.00,CASH,NOT RXXXXXTERED,"S.S. SPRING OD23MM, L 45MM",5,5.00,-
01 Invoice,111111111111111,ABC LTD.,14123,9/12/2024,9/12/2024,9/1/2024,9/30/2024,75.00,CASH,NOT RXXXXXTERED,BULB 24 V,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,SIV-13632,8/31/2024,9/19/2024,9/1/2024,9/30/2024,"6,600.00",LIBE,10023XXXXX00003,OTHER SERVICES CHARGES,330,330.00,-
01 Invoice,111111111111111,ABC LTD.,32824,9/19/2024,9/19/2024,9/1/2024,9/30/2024,36.20,CASH,NOT RXXXXXTERED,Dry Ice Pellets,1.81,1.81,-
01 Invoice,111111111111111,ABC LTD.,AT7964/2024,9/19/2024,9/19/2024,9/1/2024,9/30/2024,"4,800.00",CASH,NOT RXXXXXTERED,TYRE 1000-20 FOR 12 TON FORKLIFT,240.00,240.00,-
01 Invoice,111111111111111,ABC LTD.,154613,9/21/2024,9/21/2024,9/1/2024,9/30/2024,"1,198.80",CASH,NOT RXXXXXTERED,COTTON CLOTH,59.94,59.94,-
01 Invoice,111111111111111,ABC LTD.,AH-1397113,9/23/2024,9/23/2024,9/1/2024,9/30/2024,38.20,CASH,NOT RXXXXXTERED,SAFETY VALVE 1'',1.91,1.91,-
01 Invoice,111111111111111,ABC LTD.,AVNPQ–AM–INV-113/24,9/23/2024,9/26/2024,9/1/2024,9/30/2024,"8,750.00",AVN,10032XXXXX00003,OTHER SERVICES CHARGES,437.5,437.50,-
01 Invoice,111111111111111,ABC LTD.,"AVNPQ–AM–INV-117/24, Rev. 0",9/24/2024,9/26/2024,9/1/2024,9/30/2024,"7,000.00",AVN,10032XXXXX00003,OTHER SERVICES CHARGES,350,350.00,-
01 Invoice,111111111111111,ABC LTD.,ASBC/FAH2024/050,9/25/2024,9/29/2024,9/1/2024,9/30/2024,"15,770.00",ALSU,10058XXXXX00003,CAPITAL -MACHINERY - Foundation Works for PE Storage Tent Casting of concrete (40N) SRC 80 X80X800CM = 38 Nos,788.5,788.50,-
01 Invoice,111111111111111,ABC LTD.,ASBC/FAH2024/041,9/7/2024,9/29/2024,9/1/2024,9/30/2024,"8,700.00",ALSU,10058XXXXX00003,OTHER SERVICES CHARGES,435,435.00,-
01 Invoice,111111111111111,ABC LTD.,6160093476,9/20/2024,9/29/2024,9/1/2024,9/30/2024,"509,008.60",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"25,450.43","25,450.43",-
01 Invoice,111111111111111,ABC LTD.,6160093558,9/25/2024,9/29/2024,9/1/2024,9/30/2024,"509,008.60",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"25,450.43","25,450.43",-
01 Invoice,111111111111111,ABC LTD.,6160092393,9/6/2024,9/29/2024,9/1/2024,9/30/2024,"254,504.20",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"12,725.21","12,725.21",-
01 Invoice,111111111111111,ABC LTD.,SI240317,8/27/2024,9/29/2024,9/1/2024,9/30/2024,"48,158.00",OOSC,10025XXXXX00003,COATINGCHGOOSC,"2,407.90","2,407.90",-
01 Invoice,111111111111111,ABC LTD.,CD8624021193,9/3/2024,9/29/2024,9/1/2024,9/30/2024,"204,000.00",JOTU,10005XXXXX00003,JOTA PIPE DL 3002 /15 S BLUE SMOOTH,"10,200.00","10,200.00",-
01 Invoice,111111111111111,ABC LTD.,6160093844,9/28/2024,9/29/2024,9/1/2024,9/30/2024,"509,008.60",BORO,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"25,450.43","25,450.43",-
01 Invoice,111111111111111,ABC LTD.,CAFU/INV-7861/2024,9/1/2024,9/30/2024,9/1/2024,9/30/2024,"2,080.00",CAFU,10054XXXXX00003,DIESEL,104,104,-
01 Invoice,111111111111111,ABC LTD.,cafu/inv-7861/2024.,9/1/2024,9/30/2024,9/1/2024,9/30/2024,"113,155.00",CAFU,10054XXXXX00003,DIESEL,"5,657.75","5,657.75",-
01 Invoice,111111111111111,ABC LTD.,CAFU/INV-7838/2024,8/31/2024,9/30/2024,9/1/2024,9/30/2024,"131,815.60",CAFU,10054XXXXX00003,DIESEL,"6,590.78","6,590.78",-
01 Invoice,111111111111111,ABC LTD.,94DN4098217,9/18/2024,9/30/2024,9/1/2024,9/30/2024,"11,884.60",GULF,10029XXXXX00003,All Risk Insurance,594.23,594.23,-
01 Invoice,111111111111111,ABC LTD.,ARIN004743,8/31/2024,9/30/2024,9/1/2024,9/30/2024,"2,375.00",AL B,10027XXXXX00003,HSE Expenses,118.75,118.75,-
01 Invoice,111111111111111,ABC LTD.,ARIN004744,8/31/2024,9/30/2024,9/1/2024,9/30/2024,"3,000.00",AL B,10027XXXXX00003,HSE Expenses,150,150,-
01 Invoice,111111111111111,ABC LTD.,2175769,9/5/2024,9/30/2024,9/1/2024,9/30/2024,200.00,DIRE,10035XXXXX00003,Visa Charges-(E)- New employment visa & Status change - Santun Malana,10,10.00,-
01 Invoice,111111111111111,ABC LTD.,2175770,9/5/2024,9/30/2024,9/1/2024,9/30/2024,100.00,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Cancellation - Vijaypal Singh,5,5,-
01 Invoice,111111111111111,ABC LTD.,2175777,9/6/2024,9/30/2024,9/1/2024,9/30/2024,200.00,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update - Manikant Singh,10,10.00,-
01 Invoice,111111111111111,ABC LTD.,2175778,9/6/2024,9/30/2024,9/1/2024,9/30/2024,200.00,DIRE,10035XXXXX00003,Visa Charges-(E)- RP renewal & Salary Update - Prithivipal Singh,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175815,9/9/2024,9/30/2024,9/1/2024,9/30/2024,200.00,DIRE,10035XXXXX00003,Visa Charges-(E)-RP Renewal & Data Modification & salary update - Satheesh Kumar,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175814,9/9/2024,9/30/2024,9/1/2024,9/30/2024,200.00,DIRE,10035XXXXX00003,Visa Charges-(E)-RP Renewal & salary update - Budda Bahadur,10,10,-
