Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply,Reason of Out-of-Scope Sales treatment
01 Invoice,111111111111111,ABC LTD.,IN5H0000729,9/1/2024,9/1/2024,9/30/2024,"134,279.16",-,AL R,30005XXXXX10003,COATED PIPE 1016.00X12.70 MMX12.00 M/RTCC,
01 Invoice,111111111111111,ABC LTD.,IN20012221,9/1/2024,9/1/2024,9/30/2024,"15,931.29",-,ARCE,10030XXXXX00003,HE 90/60,
01 Invoice,111111111111111,ABC LTD.,IN5H0000714,9/1/2024,9/1/2024,9/30/2024,"74,304.00",-,EMPO,10038XXXXX00003,CSP 1066.80X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000714,9/1/2024,9/1/2024,9/30/2024,"77,688.00",-,EMPO,10038XXXXX00003,CSP 1117.60X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000715,9/1/2024,9/1/2024,9/30/2024,"66,360.00",-,EMPO,10038XXXXX00003,CSP 0762.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000715,9/1/2024,9/1/2024,9/30/2024,"30,900.00",-,EMPO,10038XXXXX00003,CSP 0711.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000715,9/1/2024,9/1/2024,9/30/2024,"11,808.00",-,EMPO,10038XXXXX00003,CSP 1016.00X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000715,9/1/2024,9/1/2024,9/30/2024,"24,768.00",-,EMPO,10038XXXXX00003,CSP 1066.80X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000717,9/2/2024,9/1/2024,9/30/2024,"67,320.00",-,GENE,10035XXXXX00003,Steel from (solid scrap) pipe processing / production,
01 Invoice,111111111111111,ABC LTD.,IN5H0000717,9/2/2024,9/1/2024,9/30/2024,"20,451.20",-,GENE,10035XXXXX00003,MIX Steel Scrap,
01 Invoice,111111111111111,ABC LTD.,IN20012152,9/2/2024,9/1/2024,9/30/2024,"1,528.04",-,ARCE,10030XXXXX00003,UPN 220X080X029.40 KG/MX12.00 M,
01 Invoice,111111111111111,ABC LTD.,IN20012153,9/2/2024,9/1/2024,9/30/2024,"105,046.53",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN20012153,9/2/2024,9/1/2024,9/30/2024,"20,578.25",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0048,
01 Invoice,111111111111111,ABC LTD.,IN5H0000753,9/2/2024,9/1/2024,9/30/2024,"141,696.00",-,EMPO,10038XXXXX00003,CSP 1016.00X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000753,9/2/2024,9/1/2024,9/30/2024,"38,844.00",-,EMPO,10038XXXXX00003,CSP 1117.60X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000722,9/2/2024,9/1/2024,9/30/2024,"156,141.85",-,ALBA,31057XXXXX00003,CSP 0863.00X21.00 MM /ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000716,9/2/2024,9/1/2024,9/30/2024,"225,791.21",-,TROU,10028XXXXX00003,COATED PIPE 1828.80X12.70 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN20012160,9/3/2024,9/1/2024,9/30/2024,"31,675.00",-,SCRA,10035XXXXX00003,SCRAP- PILES,
01 Invoice,111111111111111,ABC LTD.,IN70001821,9/3/2024,9/1/2024,9/30/2024,"41,667.43",-,ARCE,10030XXXXX00003,SCRAP- PILES,
01 Invoice,111111111111111,ABC LTD.,IN5H0000730,9/3/2024,9/1/2024,9/30/2024,"180,741.68",-,TROU,10028XXXXX00003,COATED PIPE 1828.80X12.70 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN5H0000748,9/3/2024,9/1/2024,9/30/2024,"31,228.37",-,ALBA,31057XXXXX00003,CSP 0863.00X21.00 MM /ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000748,9/3/2024,9/1/2024,9/30/2024,"76,537.47",-,ALBA,31057XXXXX00003,CSP 0762.00X16.00 MM /24.00 M/ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS3-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS3-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS3-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS3-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS4-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS4-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS4-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS4-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MPS4-I,
